"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_ID","RWY_LEN","RWY_WIDTH","SURFACE_TYPE_CODE","COND","TREATMENT_CODE","PCN","PAVEMENT_TYPE_CODE","SUBGRADE_STRENGTH_CODE","TIRE_PRES_CODE","DTRM_METHOD_CODE","RWY_LGT_CODE","RWY_LEN_SOURCE","LENGTH_SOURCE_DATE","GROSS_WT_SW","GROSS_WT_DW","GROSS_WT_DTW","GROSS_WT_DDTW"
"2024/04/18","00323.3","A","AL","5R4","FOLEY","US","18/36",3700,74,"ASPH","GOOD","NONE",,"","","","","MED","3RD PARTY SURVEY","2014/12/02",28,,,
"2024/04/18","00323.4","A","AL","NBJ","FOLEY","US","09/27",5000,150,"ASPH","","NONE",18,"F","B","W","T","","MILITARY","2018/11/14",,,,
"2024/04/18","00323.4","A","AL","NBJ","FOLEY","US","15/33",5000,150,"ASPH","","NONE",18,"F","A","W","T","","MILITARY","2018/11/14",,,,
"2024/04/18","00324.07","H","AL","9AL5","FORKLAND","US","H1",35,35,"CONC","","NONE",,"","","","","","","",,,,
"2024/04/18","00326.","A","AL","67A","FORT DEPOSIT","US","15/33",3593,78,"ASPH","POOR","NONE",,"","","","","MED","","",15,,,
"2024/04/18","00328.","A","AL","2AL5","FORT PAYNE","US","E/W",1925,100,"TURF","","NONE",,"","","","","","","",,,,
"2024/04/18","00328.1","A","AL","4A9","FORT PAYNE","US","04/22",5001,100,"ASPH","GOOD","GRVD",,"","","","","MED","NACO","2002/08/07",16,,,
"2024/04/18","00328.11","H","AL","0AL4","FORT PAYNE","US","H1",30,30,"CONC","","NONE",,"","","","","PERI","","",,,,
"2024/04/18","00329.","A","AL","OZR","FORT NOVOSEL (OZARK)","US","06/24",4546,150,"ASPH","","NONE",44,"F","A","W","T","HIGH","MILITARY","2005/04/30",,,,
"2024/04/18","00329.","A","AL","OZR","FORT NOVOSEL (OZARK)","US","18/36",5025,150,"ASPH","","NONE",35,"F","A","W","T","MED","MILITARY","2005/04/30",,,,
"2024/04/18","00329.","A","AL","OZR","FORT NOVOSEL (OZARK)","US","H1",50,50,"ASPH","","NONE",,"","","","","","MILITARY","2008/08/25",,,,
"2024/04/18","00329.","A","AL","OZR","FORT NOVOSEL (OZARK)","US","H2",50,50,"ASPH","","NONE",,"","","","","","MILITARY","2008/08/25",,,,
"2024/04/18","00329.","A","AL","OZR","FORT NOVOSEL (OZARK)","US","H3",50,50,"ASPH","","NONE",,"","","","","","MILITARY","2008/08/25",,,,
"2024/04/18","00329.","A","AL","OZR","FORT NOVOSEL (OZARK)","US","H4",50,50,"ASPH","","NONE",,"","","","","","MILITARY","2008/08/25",,,,
"2024/04/18","00329.","A","AL","OZR","FORT NOVOSEL (OZARK)","US","H5",50,50,"ASPH","","NONE",,"","","","","","MILITARY","2008/08/25",,,,
"2024/04/18","00329.01","H","AL","HEY","FORT NOVOSEL (OZARK)","US","17/35",476,50,"ASPH","FAIR","NONE",,"","","","","MED","MILITARY","2014/02/01",,,,
"2024/04/18","00329.03","H","AL","LOR","FORT NOVOSEL (OZARK)","US","H1",50,50,"ASPH","","NONE",,"","","","","","MILITARY","2014/02/01",,,,
