id,latitude,longitude,source_ref,alt_name,local_ref,wikipedia,icao,wikidata,addr:housenumber,name:fr,addr:state,name:en,type,ref,gnis:feature_type,landuse,ele,gnis:feature_id,operator:type,addr:postcode,gnis:created,military,addr:city,website,name,source,note,name:ru,phone,gnis:county_name,addr:street,operator
339772020,51.5986027,42.1111482,,,,,,,,,,Malyye Alabukhi,,,,,166,,,,,,,,Малые Алабухи,,,Малые Алабухи,,,,
339901309,27.4173087,83.8879922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339952431,37.5866396,-101.7308407,geonames.usgs.gov,,,en:Stanton County Municipal Airport,KJHN,Q7600233,,,KS,,,,,,1012,481370,public,,,,,,Stanton County Municipal Airport,,,,,,,Stanton County
339968553,50.0398197,10.8221,,,,de:Flugplatz Ebern-Sendelbach,EDQR,Q20455791,,,,,,522x25m GRAS,,,252,,,,,,,,Flugplatz Ebern-Sendelbach,,,,,,,
340035971,47.2387433,4.2644647,,,,fr:Aérodrome de Saulieu - Liernais,LFEW,Q2875633,,,,Saulieu Liernais Airfield,,,,,,,,,,,,,Aérodrome de Saulieu - Liernais,,,,,,,
340048681,-1.1158296,34.485527,,,,,HKMM,Q79968182,,,,,,HKMM,,,,,,,,,,,Migori Airport,ourairports.com,,,,,,
340429052,26.7100397,85.9223277,,,,en:Janakpur Airport,VNJP,Q2901010,,,,,,,,,78,,,,,,,,Janakpur Airport,,,,,,,
340435198,26.7762057,83.8904881,,,,,VEKI,,,,,,,,,,,,,,,,,,Kushinagar Airport,,,,,,,
340586667,48.0351886,28.9258991,,,ZB8T,,,,,,,Zahnitkiv,,,,,,,,,,,,,Загнітків,,,Загнитков,,,,
340589543,48.200516,28.8630634,,,ZB8U,,,,,,,Pishchanka,,,,,,,,,,,,,Піщанка,,,Песчанка,,,,
340605710,49.8326907,35.9185274,,,,,UKVR,,,,,Rakitne airfield,,,,,,,,,,,Рокитне,,Ракітне,,,Ракитное,,,,
340688462,45.4813223,-72.3096677,,,,,,,,Aéroport de Valcourt,,Valcourt Airport,,,,,,,,,,,,,Aéroport de Valcourt,ourairports.com,,,,,,
340706393,39.3720732,-104.7442732,,,,,,Q49749970,,,,,,CO96,,,,,,,,,,,Reed Hollow Ranch Airport,,,,,,,"Reed Hollow Ranch, LPA"
340971609,5.6760772,-72.9699829,,,,,SKSO,,,,,,,,,,2486,,,,,,,,Alberto Lleras Camargo,OCHA Colombia 2010,"AEROPUERTO, CAMPO DE ATERRIZAJE, c713b88da9a705dfa2b9fc1f9c44f82c",,,,,
341018077,30.96833,-83.189323,,,,en:Moody Air Force Base,KVAD,Q2625576,,,,,,,,military,71m,,,,,airfield,,,Moody Air Force Base,,,,,,,United States Air Force
341039860,56.2396249,24.600714,,,,,,,,,,Mediniai Airstrip,,,,,,,,,,,,,Medinių aerodromas,,,,,,,
341165677,27.4105766,86.6464308,,,,,VNKL,,,,,,,,,,2097,,,,,,,,Kangel Danda Airport,,,,,,,
341179912,42.8713159,12.3845737,,A/S Walter Rattichieri,PGPNT,,,,,,,,,,,,,,,,,,Todi,http://www.avioclubpantalla.com/newsite/home.asp,Avioclub Pantalla,,,,,,,
341186198,41.1577538,14.3648877,,,,,,,,,,,,,,,,,,,,,,,Aviosuperficie Volturno Fly,,,,,,,
341186502,41.1456757,14.3386357,,,CECZZ,,,,,,,,,,,,30,,,,,,,,Campo di volo Rains,http://www.ulm.it/hangar/campi/scheda1.htm?chiave=96&condizione=provincia&sel_ordine=nome+asc&valore=caserta&,,,,,,
341207299,41.3238226,14.3636229,,,CEALI,,,,,,,,,,,,,,,,,,,,Piedimonte Matese,,,,,,,
341212443,41.1783075,14.7475982,,,BNBEN,it:Aeroporto di Benevento-Olivola,LIRO,Q3606036,,,,,,,,,200,,private,,,,,https://www.aeroclubbenevento.it/,Aeroporto di Benevento Generale Nicola Collarile,,,,,,,"AERO CLUB BENEVENTO ""Gen. Nicola COLLARILE"""
341343267,59.2248687,163.0665887,,,,,UHPD,,,,,,,,,,,,,,,,,,"Аэропорт ""Оссора""",,,,,,,"ФКП ""Аэропорты Камчатки"""
341358906,59.2331682,163.0615251,,,,,,,,,,,,,,,,,,,,,,,Склад ГСМ аэропорта,,,,,,,
341396857,50.8379647,38.9943999,,,,,,,,,,,,,,,150,,,,,,,,Острогожск,,,Острогожск,,,,
341501030,10.5965744,-61.3361308,,,,en:Piarco International Airport,TTPP,Q788810,,,,,,,,,,,public,,,,Piarco,,Piarco International Airport,ourairports.com,,,,,Golden Grove Road,Airports Authority of Trinidad and Tobago
341607504,39.747134,-85.8067336,,,,,,,,,IN,,,,,,262,449186,,,,,,,Osgood Field,,,,,,,
