airport,minName,minEle,minRunway,minICAO,minIATA,minWebsite,minOSM,LAT,LON
http://www.wikidata.org/entity/Q17917,Corryong Airport,289,,YCRG,CYG,,,147.887777777,-36.182777777
http://www.wikidata.org/entity/Q17924,Echuca Airport,101,,YECH,ECH,,,144.761944444,-36.157222222
http://www.wikidata.org/entity/Q17933,Hopetoun Airport,79,,YHPN,HTU,,,142.36,-35.715
http://www.wikidata.org/entity/Q18561,Horsham Airport,137,,YHSM,HSM,,,142.172777777,-36.669722222
http://www.wikidata.org/entity/Q18563,Kerang Airport,80,,YKER,KRA,,,143.94,-35.751666666
http://www.wikidata.org/entity/Q18564,Latrobe Valley Airport,52,,YLTV,TGN,,,146.470277777,-38.207222222
http://www.wikidata.org/entity/Q45523,Brisbane Airport,13,01R/19L,YBBN,BNE,http://www.bne.com.au/,,153.118333333,-27.383333333
http://www.wikidata.org/entity/Q45938,Auckland Airport,23,05R/23L,NZAA,AKL,https://www.aucklandairport.co.nz/,,174.791666666,-37.008055555
http://www.wikidata.org/entity/Q47157,King Khalid International Airport,22,15R/33L,OERK,RUH,https://kkia.sa,,46.698888888,24.957777777
http://www.wikidata.org/entity/Q81569,Catumbela Airport,23,,FNCT,CBT,,,13.487278,-12.479528
http://www.wikidata.org/entity/Q81573,Kapanda Airport,3366,,FNCP,KNP,,,15.4565,-9.77078
http://www.wikidata.org/entity/Q81575,Saurimo Airport,3584,,FNSA,VHC,,,20.431555555,-9.688944444
http://www.wikidata.org/entity/Q82240,Hiroshima Airport,1086,10/28,RJOA,HIJ,https://www.hij.airport.jp/,,132.919444444,34.436111111
http://www.wikidata.org/entity/Q82882,Bajawa Soa Airport,1318,,WATB,BJW,,,121.0625,-8.7125
http://www.wikidata.org/entity/Q93617,Qualicum Beach Airport,190,,,XQU,,,-124.394,49.3372
http://www.wikidata.org/entity/Q17622,Ngukurr Airport,14,,YNGU,RPM,,,134.747,-14.7228
http://www.wikidata.org/entity/Q17623,Tennant Creek Airport,375,,YTNK,TCA,http://www.tennantcreekairport.com.au/,,134.183333333,-19.634444444
http://www.wikidata.org/entity/Q17624,Ayers Rock Airport,495,,YAYE,AYQ,,,130.975555555,-25.186111111
http://www.wikidata.org/entity/Q17625,Victoria River Downs Airport,89,,YVRD,VCD,,,131.003333333,-16.403333333
http://www.wikidata.org/entity/Q17894,Ararat airport,307,,YARA,ARY,,,142.988333333,-37.31
http://www.wikidata.org/entity/Q17901,Bairnsdale Airport,52,,YBNS,BSJ,,,147.567777777,-37.8875
http://www.wikidata.org/entity/Q17902,Ballarat Airfield,441,,YBLT,,,,143.791111111,-37.511666666
http://www.wikidata.org/entity/Q26453,Nea Anchialos National Airport,25,08/26,LGBL,VOL,http://www.volosairport.gr/,,22.794166666,39.219444444
http://www.wikidata.org/entity/Q26504,"Mo i Rana Airport, Røssvoll",70,13/31,ENRA,MQN,https://avinor.no/en/airport/mo-i-rana-airport/,,14.301388888,66.363888888
http://www.wikidata.org/entity/Q26514,"Narvik Airport, Framnes",29,,ENNK,NVK,https://avinor.no/en/airport/narvik-airport/,,17.386667,68.436945
http://www.wikidata.org/entity/Q27117,Eilat Airport,13,03/21,LLET,ETH,http://www.iaa.gov.il/Rashat/en-US/Airports/Eilat/,,34.959167,29.559445
http://www.wikidata.org/entity/Q28461,Sialkot International Airport,255,,OPST,SKT,http://www.sial.com.pk,,74.363888888,32.535555555
http://www.wikidata.org/entity/Q28831,Vinh Airport,6,17/35,VVVH,VII,https://www.vietnamairport.vn/vinhairport/en/,,105.670833,18.736667
http://www.wikidata.org/entity/Q29104,Velana International Airport,6,18/36,VRMM,MLE,https://macl.aero/,,73.529111,4.191833
http://www.wikidata.org/entity/Q29759,Fano Airport,16,05/23,LIDF,,,,13.02558056,43.82378333
http://www.wikidata.org/entity/Q193408,Phu Cat Airport,24,15/33,VVPC,UIH,http://phucatairport.vn,,109.042222222,13.955
http://www.wikidata.org/entity/Q194316,Suvarnabhumi Airport,5,01L/19R,VTBS,BKK,https://suvarnabhumi.airportthai.co.th/en,,100.747222,13.681111
http://www.wikidata.org/entity/Q14319,Cowell Airport,33,,YCWL,CCW,,,136.892,-33.6667
http://www.wikidata.org/entity/Q14322,Kimba Airport,230,,YIMB,,,,136.46,-33.0997
http://www.wikidata.org/entity/Q14324,Kingscote Airport,7,,YKSC,KGC,http://www.kangarooisland.sa.gov.au/airport,,137.521666666,-35.713888888
http://www.wikidata.org/entity/Q14327,Leigh Creek Airport,260,,YLEC,LGH,,,138.427,-30.9983
http://www.wikidata.org/entity/Q14329,Loxton Airport,33,,YLOX,,,,140.663,-34.475
http://www.wikidata.org/entity/Q14331,Mount Gambier Airport,64,,YMTG,MGB,http://www.mountgambierairport.com.au/,,140.785277777,-37.745555555
http://www.wikidata.org/entity/Q15100,Naracoorte Airport,52,,YNRC,NAC,,,140.725,-36.985
http://www.wikidata.org/entity/Q15101,Port Augusta Airport,16,,YPAG,PUG,http://www.portaugusta.sa.gov.au/airport,,137.716666666,-32.506944444
http://www.wikidata.org/entity/Q389802,General Servando Canales International Airport,25,,MMMA,MAM,https://www.aeropuertosasa.mx/aeropuerto_de_matamoros.php,,-97.525311111,25.769894444
http://www.wikidata.org/entity/Q390522,Mojave Air and Space Port at Rutan Field,2801.3,04/22,KMHV,MHV,https://www.mojaveairport.com/,,-118.152,35.0594
http://www.wikidata.org/entity/Q392728,King Shaka International Airport,94,,FALE,DUR,http://www.airports.co.za/airports/king-shaka,,31.116388888,-29.614444444
http://www.wikidata.org/entity/Q392784,Moi International Airport,200,03/21,HKMO,MBA,http://www.kenyaairports.co.ke/kaa/airports/moi/,,39.594167,-4.034722
http://www.wikidata.org/entity/Q59669,Tho Xuan Airport,2,,VVTX,THD,https://www.vietnamairport.vn/thoxuanairport/vi/,,105.467777777,19.901666666
http://www.wikidata.org/entity/Q59733,La Isabela International Airport,98,,MDJB,JBQ,http://www.aerodom.com/app/en/aeropuertos_laisabela.aspx,,-69.981388888,18.575555555
http://www.wikidata.org/entity/Q59942,Launch and Landing Facility,13,15/33,KTTS,QQS,https://www.spaceflorida.gov/facilities/llf/,,-80.6945,28.615
http://www.wikidata.org/entity/Q211734,"Athens International Airport ""Eleftherios Venizelos""",308,03L/21R,LGAV,ATH,https://www.aia.gr/,,23.944444444,37.936388888
http://www.wikidata.org/entity/Q213717,O'Hare International Airport,668,04L/22R,KORD,ORD,https://www.flychicago.com/ohare/pages/default.aspx,,-87.904722222,41.978611111
http://www.wikidata.org/entity/Q215327,Helsinki Airport,180,04L/22R,EFHK,HEL,http://www.helsinkiairport.fi/,,24.963333333,60.317222222
http://www.wikidata.org/entity/Q217226,Tirana International Airport Nënë Tereza,38,17/35,LATI,TIA,https://www.tirana-airport.com/,,19.720555555,41.414722222
http://www.wikidata.org/entity/Q381808,Coimbra Airport,174,,LPCO,CBP,http://www.aeroclubedecoimbra.com/index.php/placar/aerodromo/informacao-ambb,,-8.47,40.1572
http://www.wikidata.org/entity/Q384788,Ministro Pistarini International Airport,20.5,11/29,SAEZ,EZE,http://www.aa2000.com.ar/aeropuertos.aspx,,-58.53583333,-34.82222222
